2026-07-10 01:25:08,151 | INFO | __main__ | Starting Password Strength Checker application...
2026-07-10 01:25:29,418 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,419 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:29,446 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,447 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:29,462 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,463 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:29,493 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,493 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:29,542 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,544 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:29,790 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,791 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:29,943 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:29,944 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,104 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,105 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,127 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,128 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,155 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,155 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,242 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,242 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,371 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,371 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,383 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,383 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:30,502 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:30,502 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:31,179 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:31,185 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:31,195 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:31,200 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:31,261 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:31,267 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:31,286 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:31,307 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:40,134 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:40,134 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:40,149 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:40,149 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:40,557 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:40,557 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:40,835 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:40,836 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:41,120 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:41,124 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:41,379 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:41,380 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:41,622 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:41,624 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:41,784 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:41,785 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:41,945 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:41,945 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:42,181 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:42,183 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:42,834 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:42,835 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:42,862 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:42,887 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:43,504 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:43,504 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:43,758 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:43,759 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:44,221 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:44,221 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:44,995 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:44,996 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:45,003 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:45,004 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:46,351 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:46,354 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:46,546 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:46,547 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:46,758 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:46,763 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:50,434 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:50,434 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:50,483 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:50,484 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:51,846 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:51,847 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:52,019 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:52,020 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:52,188 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:52,188 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:54,743 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:54,744 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:55,065 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:55,065 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:25:55,311 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:25:55,312 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:06,181 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:26:06,182 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:06,450 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:26:06,451 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:06,692 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:26:06,692 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:07,066 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:26:07,066 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:07,408 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:26:07,408 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:07,707 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:26:07,707 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:26:11,717 | INFO | __main__ | Application closed.
2026-07-10 01:27:27,367 | INFO | __main__ | Starting Password Strength Checker application...
2026-07-10 01:27:27,581 | INFO | app.core.analyzer | PasswordAnalyzer initialized with all components.
2026-07-10 01:27:27,699 | INFO | app.ui.app_ui | AppUI initialized successfully.
2026-07-10 01:29:41,131 | INFO | __main__ | Application closed.
2026-07-10 01:30:03,692 | INFO | __main__ | Starting Password Strength Checker application...
2026-07-10 01:30:03,789 | INFO | app.core.analyzer | PasswordAnalyzer initialized with all components.
2026-07-10 01:30:03,883 | INFO | app.ui.app_ui | AppUI initialized successfully.
2026-07-10 01:30:08,432 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:08,433 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:08,446 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:08,447 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:08,738 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:08,738 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:08,963 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:08,963 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:09,264 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:09,265 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:09,520 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:09,520 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:14,001 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:14,001 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:14,115 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:14,115 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:14,280 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:14,281 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:14,450 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:14,454 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:16,571 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:16,572 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:16,706 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:16,707 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:16,928 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:16,928 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:18,613 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:18,614 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:18,633 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:30:18,635 | INFO | app.core.analyzer | Password analysis completed successfully.
2026-07-10 01:30:24,355 | INFO | __main__ | Application closed.
2026-07-10 01:33:03,148 | INFO | __main__ | Starting Password Strength Checker application...
2026-07-10 01:33:03,302 | INFO | app.core.analyzer | PasswordAnalyzer initialized with all components.
2026-07-10 01:33:03,426 | INFO | app.ui.app_ui | AppUI initialized successfully.
2026-07-10 01:33:06,457 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:07,065 | WARNING | app.security.pwned_passwords | Password found in a data breach 539 times.
2026-07-10 01:33:07,069 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:07,084 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:07,662 | WARNING | app.security.pwned_passwords | Password found in a data breach 539 times.
2026-07-10 01:33:07,675 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:07,729 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:08,311 | WARNING | app.security.pwned_passwords | Password found in a data breach 539 times.
2026-07-10 01:33:08,318 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:08,345 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:08,983 | WARNING | app.security.pwned_passwords | Password found in a data breach 5 times.
2026-07-10 01:33:08,992 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:09,035 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:09,791 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:09,799 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:09,853 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:10,591 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:10,593 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:10,606 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:11,161 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:11,168 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:11,179 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:11,790 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:11,792 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:11,801 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:12,308 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:12,310 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:12,314 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:13,071 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:13,073 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:13,081 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:13,819 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:13,825 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:13,837 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:14,625 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:14,627 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:14,639 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:15,528 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:15,530 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:15,536 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:16,550 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:16,555 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:16,574 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:17,442 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:17,445 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:17,457 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:18,538 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:18,540 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:18,549 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:19,470 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:19,472 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:19,479 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:20,084 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:20,086 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:20,097 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:20,754 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:20,758 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:20,768 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:21,394 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
2026-07-10 01:33:21,397 | ERROR | app.core.analyzer | An error occurred during password analysis: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
Traceback (most recent call last):
  File "d:\01-Password-Strength-Checker\app\core\analyzer.py", line 79, in analyze
    analysis_result.pwned_count = pwned_count
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PasswordAnalysisResult' object has no attribute 'pwned_count' and no __dict__ for setting new attributes
2026-07-10 01:33:21,409 | INFO | app.core.checker | Password validation completed.
2026-07-10 01:33:22,003 | INFO | app.security.pwned_passwords | Password not found in any known data breaches.
